Avicennia germinans
Rattus norvegicus
Stenopus hispidus
Anthurium crassinervium
Lecane elsa
Cucumis anguria
Tantilla melanocephala
Najas guadalupensis
Patagioenas corensis
Gonatodes albogularis
Byrsonima crassifolia
Manacus manacus
Distimake quinquefolius
Phaethornis longirostris
Phoradendron piperoides
Plicatula gibbosa
Canthon mutabilis
Pharneuptychia phares
Cedrela fissilis
Turdus ignobilis
Passiflora foetida
Melocactus curvispinus
Columbina passerina
Pheidole susannae
Agriogomphus jessei
Tecoma stans
Cucumis dipsaceus
Ruehssia colombiana
Asemospiza obscura
Portulaca oleracea
Microtia elva
Leptodeira septentrionalis
Vireo flavifrons
Coccyzus americanus
Caesalpinia pulcherrima
Saccopteryx bilineata
Poecilia sphenops
Callicore pitheas
Tolmomyias flaviventris
Sporophila plumbea
Leptodactylus fragilis
Onthophagus bidentatus
Quadrella indica
Protonotaria citrea
Lonchocarpus violaceus
Dichotomius costaricensis
Empidonax virescens
Ara chloropterus
Cardiospermum halicacabum
Calephelis laverna
Tachybaptus dominicus
Hamadryas februa
Micrastur semitorquatus
Crescentia cujete
Artibeus planirostris
Parkia velutina
Triplaris cumingiana
Senegalia tamarindifolia
Tillandsia fasciculata
Filinia saltator
Micronycteris megalotis
Leptodactylus bolivianus
Dajaus monticola
Ardea herodias
Brachymyrmex obscurior
Crotophaga ani
Caiman crocodilus
Astyanax caucanus
Piranga flava
Galeripora artocrea
Eunica monima
Machaerium milleflorum
Tamandua mexicana
Heteromys anomalus
Coprophanaeus telamon
Buteo albonotatus
Aratinga pertinax
Ipomoea hederifolia
Mazama gouazoubira
Anolis onca
Digitonthophagus gazella
Sylvilagus floridanus
Platyrrhinus helleri
Rattus rattus
Cephalotes columbicus
Thraupis palmarum
Pleurodema brachyops
Andinoacara latifrons
Historis odius
Eudocimus ruber
Tadarida brasiliensis
Gonatodes vittatus
Crematogaster curvispinosa
Oculina diffusa
Spatuloricaria lagoichthys
Chromolaena odorata
Dendropsophus microcephalus
Parkesia noveboracensis
Thraupis glaucocolpa
Sciurus granatensis
Butorides virescens
Egretta rufescens
Mimus gilvus
Trachemys callirostris
Eptesicus brasiliensis
Castela erecta
Sibon nebulatus
Millepora alcicornis
Carebarella bicolor
Colpophyllia natans
Myiozetetes cayanensis
Sicalis flaveola
Eucometis penicillata
Sarcomphalus saeri
Malvaviscus arboreus
Gephyrocharax venezuelae
Heliopyrgus domicella
Bravaisia integerrima
Icterus nigrogularis
Fridericia mollissima
Lecane ungulata
Machetornis rixosa
Gliricidia sepium
Centropomus pectinatus
Psychotria carthagenensis
Bubo virginianus
Megalomyrmex drifti
Kronoheros umbriferus
Caligo telamonius
Astyanax fasciatus
Claravis pretiosa
Piculus chrysochloros
Chelonoidis carbonarius
Dryadula phaetusa
Desmodus rotundus
Lippia americana
Ascia monuste
Furnarius leucopus
Muntingia calabura
Galbula tombacea
